Product,SKU,Brand,Product Line,Classification,Shelf Inventory,Wholesale Price,Amount Sold (Units),Product
Blue Dream (Infused Distillate Disposable Vape Pen .5g),7375bluedreamDVP,Pure Ohio Wellness,Disposable Vape Pen (Distillate),Medical,0,$750.00 ,150,Blue Dream (Infused Distillate Disposable Vape Pen .5g)
White Gusherz (Infused Distillate Disposable Vape Pen .5g),7427whitegushDVP,Pure Ohio Wellness,Disposable Vape Pen (Distillate),Medical,450,$750.00 ,150,White Gusherz (Infused Distillate Disposable Vape Pen .5g)
Coco Freeze (CO2 Full Spectrum Disposable Vape Pen .5g),7917cocofreezeDVP,Pure Ohio Wellness,Disposable Vape Pen (CO2 Full Spectrum),Medical,50,$750.00 ,150,Coco Freeze (CO2 Full Spectrum Disposable Vape Pen .5g)
Grape Ape (Infused Distillate Disposable Vape Pen .5g),7880grapeapeDVP,Pure Ohio Wellness,Disposable Vape Pen (Distillate),Medical,100,$750.00 ,150,Grape Ape (Infused Distillate Disposable Vape Pen .5g)
Blue Blast (CO2 Full Spectrum Luster Pod .84g),7488blueblastLP,Pure Ohio Wellness,Luster Pod (CO2 Full Spectrum),Medical,0,$400.00 ,140,Blue Blast (CO2 Full Spectrum Luster Pod .84g)
Lilac Diamonds (CDT Distillate 510 Cartridge .84g),7595lilacdiamonds510,Pure Ohio Wellness,510 Cartridge (Distillate),Medical,160,$400.00 ,140,Lilac Diamonds (CDT Distillate 510 Cartridge .84g)
Watermelon Myst (Infused Distillate 510 Cartridge .84g),7677watermelonmyst510,Pure Ohio Wellness,510 Cartridge (Distillate),Medical,0,$400.00 ,140,Watermelon Myst (Infused Distillate 510 Cartridge .84g)
Hell On Wheels (CO2 Full Spectrum 510 Cartridge .84g),9913hellonwheels510,Pure Ohio Wellness,510 Cartridge (CO2 Full Spectrum),Medical,0,$400.00 ,140,Hell On Wheels (CO2 Full Spectrum 510 Cartridge .84g)
Right Hook (Live Rosin Badder .84g),7123righthookBAD,Pure Ohio Wellness,Badder (Live Rosin),Medical,0,$595.00 ,140,Right Hook (Live Rosin Badder .84g)
Blue Blast (CO2 Full Spectrum Syringe .5g),9899blueblastSYR,Pure Ohio Wellness,Syringe (CO2 Full Spectrum),Medical,20,$260.00 ,140,Blue Blast (CO2 Full Spectrum Syringe .5g)
Gelato (CO2 Full Spectrum Syringe .5g),7712gelatoSYR,Pure Ohio Wellness,Syringe (CO2 Full Spectrum),Medical,80,$260.00 ,140,Gelato (CO2 Full Spectrum Syringe .5g)
Gelato (CO2 Full Spectrum 510 Cartridge .84g),7712gelato510,Pure Ohio Wellness,510 Cartridge (CO2 Full Spectrum),Medical,180,$400.00 ,140,Gelato (CO2 Full Spectrum 510 Cartridge .84g)
